Date Issued,Time Issued,District,Warning Level,Divisional Secretariat Division(s)
2024-11-30,16:00 hrs,Badulla,Level 1 (Yellow),Lunugala Haldummulla Welimada Ella Soranathota Kandeketiya Uwa Paranagama Haputhale Badulla
2024-11-30,16:00 hrs,Badulla,Level 2 (Amber),Bandarawela Meegahakiwula Passara Hali Ela
2024-11-30,16:00 hrs,Colombo,Level 1 (Yellow),Seethawaka
2024-11-30,16:00 hrs,Gampaha,Level 1 (Yellow),Attanagalla
2024-11-30,16:00 hrs,Kandy,Level 2 (Amber),Delthota Pasbage Korale Udapalatha Akurana Pathadumbara Ududumbara Yatinuwara Hatharaliyadda Doluwa Harispattuwa Medadumbara Pathahewaheta Udunuwara Panwila Poojapitiya Thumpane Ganga-Ihala-Korale
2024-11-30,16:00 hrs,Kegalle,Level 1 (Yellow),Deraniyagala Dehiowita Kegalle
2024-11-30,16:00 hrs,Kegalle,Level 2 (Amber),Galigamuwa Bulathkohupitiya Warakapola Mawanella Rambukkana Yatiyanthota Aranayake Ruwanwella
2024-11-30,16:00 hrs,Kurunegala,Level 1 (Yellow),Rideegama Mawathagama
2024-11-30,16:00 hrs,Matale,Level 3 (Red),Rattota Wilgamuwa Laggala Pallegama Pallepola Matale Ambanganga-Korale Ukuwela Naula Yatawatta
2024-11-30,16:00 hrs,Nuwara Eliya,Level 1 (Yellow),Nuwara-Eliya Ambagamuwa
2024-11-30,16:00 hrs,Nuwara Eliya,Level 2 (Amber),Hanguranketha Walapane Kotmale
2024-11-30,16:00 hrs,Ratnapura,Level 1 (Yellow),Balangoda Imbulpe Eheliyagoda
